threshold,precision,recall,f1,missed_failures,false_alarms
0.1,0.39906103286384975,0.9883720930232558,0.568561872909699,2,256
0.2,0.46685082872928174,0.9825581395348837,0.6329588014981273,3,193
0.3,0.5075987841945289,0.9709302325581395,0.6666666666666666,5,162
0.4,0.5392156862745098,0.9593023255813954,0.6903765690376569,7,141
0.5,0.5755395683453237,0.9302325581395349,0.7111111111111111,12,118
0.6,0.5984555984555985,0.9011627906976745,0.7192575406032483,17,104
0.7,0.6270491803278688,0.8895348837209303,0.7355769230769231,19,91
0.8,0.6698564593301436,0.813953488372093,0.7349081364829396,32,69
0.9,0.6994219653179191,0.7034883720930233,0.7014492753623188,51,52
